price,nox,rooms,stratio
24000,5,7,15
21599,5,6,18
34700,5,7,18
33400,5,7,19
36199,5,7,19
28701,5,6,19
22900,5,6,15
27100,5,6,15
16500,5,6,15
18900,5,6,15
15000,5,6,15
18900,5,6,15
21700,5,6,15
20400,5,6,21
18200,5,6,21
19900,5,6,21
23100,5,6,21
17500,5,6,21
20200,5,5,21
18200,5,6,21
13600,5,6,21
19600,5,6,21
15200,5,6,21
14500,5,6,21
15600,5,6,21
13900,5,6,21
16600,5,6,21
14800,5,6,21
18400,5,6,21
21000,5,7,21
12700,5,6,21
14500,5,6,21
13200,5,6,21
13100,5,6,21
13500,5,6,21
18900,5,6,19
20000,5,6,19
13668,5,6,19
24701,5,6,19
30801,4,7,18
34899,4,7,18
26601,4,7,18
25301,4,6,18
24701,4,6,18
21200,4,6,18
19300,4,6,18
20000,4,6,18
16600,4,6,18
14400,4,5,18
19400,4,6,18
19700,4,6,17
20500,4,6,17
22620,4,7,17
23400,4,6,21
18900,4,6,18
35401,4,7,17
24701,4,6,15
32562,4,7,20
23300,5,6,20
19600,5,6,20
18700,5,6,20
16000,5,6,20
22199,5,6,20
24999,5,7,20
33001,4,7,19
23501,4,6,16
19400,4,6,16
22000,4,6,19
17400,4,6,19
20900,4,6,19
24200,4,6,19
21700,4,6,19
22800,4,6,19
23400,4,6,19
24101,4,6,19
21400,4,6,19
20000,4,6,19
20800,4,6,19
21200,4,6,19
20300,4,6,19
28001,4,7,19
23899,4,7,19
24800,4,6,19
22900,4,6,19
23899,4,6,19
26601,4,7,19
22501,4,6,19
22199,4,6,19
23600,5,7,18
28701,5,7,18
22600,5,6,18
22000,5,6,18
22900,5,6,18
24999,5,6,18
20600,5,6,18
28399,4,7,18
21400,4,6,18
38700,4,8,18
43800,4,8,18
33200,4,7,18
27499,5,7,21
26500,5,7,21
18600,5,6,21
19300,5,6,21
20100,5,6,21
19500,5,6,21
19500,5,6,21
20400,5,6,21
19800,5,6,21
19400,5,6,21
21700,5,6,21
22800,5,7,18
18800,5,6,18
18700,5,6,18
18500,5,6,18
18300,5,6,18
21200,5,6,18
19200,5,6,18
20400,5,6,18
19300,6,6,18
22000,6,6,19
20300,6,6,19
20500,6,6,19
17300,6,6,19
18800,6,6,19
21400,6,6,19
15700,6,6,19
16200,6,6,21
18000,6,6,21
14300,6,6,21
19200,6,6,21
19600,6,6,21
23001,6,6,21
18400,6,6,21
15600,6,6,21
18100,6,6,21
17400,6,6,21
17100,6,6,21
13300,6,6,21
17800,6,6,21
14000,6,6,21
14400,6,5,21
13400,9,5,15
15600,9,5,15
11800,9,5,15
13800,9,6,15
15600,9,6,15
14600,9,5,15
17794,9,5,15
15400,9,6,15
21500,9,6,15
19600,9,5,15
15300,9,5,15
19400,9,6,15
17000,9,6,15
15600,9,6,15
13100,9,5,15
41299,6,7,15
24299,6,6,15
23300,9,7,15
27000,6,6,15
50001,6,7,15
50001,6,8,15
50001,6,8,15
22700,6,6,15
24999,6,6,15
50001,6,8,15
23799,6,6,15
23799,6,6,15
22299,6,6,15
17400,6,6,15
19100,6,6,15
23100,5,6,17
23600,5,6,17
22600,5,6,17
29401,5,7,17
23200,5,6,17
24600,5,6,17
29900,5,7,17
37201,5,7,18
39799,5,8,18
36199,5,6,18
37900,5,7,18
32500,5,7,18
26399,5,6,18
29599,5,6,18
50001,5,8,18
32000,4,7,15
29801,4,7,15
34899,4,7,15
37001,4,7,15
30501,4,7,15
36399,4,7,15
31101,4,7,16
29100,4,7,16
50001,4,8,14
33300,4,7,13
30300,4,7,13
34600,4,7,13
34899,4,7,17
32899,4,7,17
24101,4,6,15
42302,4,8,15
48499,4,8,15
50001,4,8,15
22600,5,6,19
24399,5,6,19
22501,5,6,19
24399,5,6,19
20000,5,5,19
21700,5,6,19
19300,5,5,19
22400,5,6,19
28099,5,6,19
23699,5,5,19
24999,5,6,19
23300,6,6,16
28701,6,7,16
21500,6,6,16
23001,6,6,16
26699,5,7,16
21700,5,6,17
27499,5,7,17
30101,5,7,17
44802,5,8,17
50001,5,9,17
37602,5,8,17
31600,5,7,17
46700,5,8,17
31499,5,7,17
24299,5,6,17
31701,5,7,17
41702,5,8,17
48301,5,8,17
29001,5,7,17
24000,5,6,17
25099,5,7,17
31499,5,7,17
23699,4,6,17
23300,4,7,17
22000,4,7,17
20100,4,6,17
22199,4,6,17
23699,4,6,17
17600,4,6,19
18500,4,6,19
24299,4,6,19
20500,4,6,19
24499,4,6,19
26200,4,7,19
24399,4,6,19
24800,4,6,19
29599,4,7,19
42800,4,8,19
21900,4,6,16
20900,4,6,16
43998,4,7,16
50001,6,9,13
36001,6,7,13
30101,6,7,13
33799,6,7,13
43101,6,8,13
48801,6,8,13
30999,6,7,13
36501,6,7,13
22800,6,6,13
30699,6,7,13
50001,6,8,13
43499,6,7,13
20700,5,6,19
21100,5,6,19
25200,5,6,19
24399,5,7,19
35200,5,8,19
32400,4,7,18
32000,4,7,18
33200,4,7,18
33100,4,7,18
29100,4,6,18
35102,4,7,15
45401,4,8,15
35401,4,7,15
46000,4,8,15
50001,4,8,14
32199,4,7,15
22000,4,6,15
20100,4,6,18
23200,4,6,17
22299,4,6,17
24800,4,7,17
28501,4,7,19
37298,4,7,19
27901,4,7,19
23899,4,6,16
21700,4,6,16
28601,4,7,16
27100,4,7,16
20300,4,6,16
22501,4,6,15
29001,4,7,15
24800,4,7,15
22000,4,7,16
26399,4,6,16
33100,5,7,16
36098,5,7,18
28399,5,7,18
33400,5,7,18
28201,5,7,18
22800,5,7,18
20300,5,6,18
16100,5,5,18
22099,5,6,18
19400,5,6,18
21600,5,6,18
23799,5,7,18
16200,5,6,18
17800,5,6,18
19800,5,6,18
23100,5,6,18
21000,5,6,18
23799,5,6,20
23100,5,6,20
20400,5,6,20
18500,5,6,20
24999,5,6,20
24600,5,6,20
23001,5,6,20
22199,5,6,20
19300,5,6,17
22600,5,6,17
19800,5,6,17
17100,4,6,17
19400,4,6,17
22199,5,6,20
20700,5,6,20
21100,5,6,20
19500,5,6,20
18500,5,6,20
20548,5,6,20
19000,5,6,20
18700,5,6,20
32778,4,7,16
16500,5,7,16
23899,5,7,18
31201,5,7,18
17500,4,6,19
17200,4,6,19
23100,4,7,18
24499,4,7,17
26601,4,7,20
22900,4,6,20
24101,4,7,18
18600,4,6,18
30101,4,7,17
18200,4,6,22
20600,4,6,22
17794,8,6,20
21700,8,6,20
22700,8,6,20
22600,8,6,20
24999,8,6,20
19900,8,6,20
20800,8,5,20
16800,8,6,20
21900,7,9,20
27499,7,4,20
21900,7,5,20
23100,6,4,20
50001,6,5,20
50001,6,7,20
50001,6,7,20
50001,6,6,20
50001,7,6,20
13800,7,5,20
13800,7,4,20
15000,7,7,20
13900,7,7,20
13300,7,7,20
13100,7,6,20
10200,7,6,20
10400,7,7,20
10900,7,7,20
11300,7,6,20
12300,7,6,20
8800,7,4,20
7200,7,5,20
10500,7,5,20
7400,7,5,20
10200,7,5,20
11500,7,5,20
15100,7,6,20
23200,7,6,20
9700,7,5,20
13800,7,6,20
12700,7,6,20
13100,7,6,20
12500,7,6,20
8500,7,6,20
5000,7,5,20
6300,7,6,20
5600,7,6,20
7200,7,6,20
12100,7,6,20
8300,7,5,20
8500,7,6,20
5000,7,6,20
11900,7,4,20
27901,7,6,20
17200,6,6,20
27499,6,7,20
15000,6,6,20
17200,6,7,20
17900,6,5,20
16300,6,5,20
7012,7,5,20
7200,7,6,20
7500,7,7,20
10400,7,5,20
8800,7,6,20
8400,7,7,20
16700,7,6,20
14200,7,6,20
20800,6,6,20
13400,6,6,20
11700,6,6,20
8300,7,6,20
10200,6,6,20
10900,7,6,20
11000,7,6,20
9500,7,6,20
14500,6,6,20
14100,6,7,20
16100,6,6,20
14300,7,6,20
11700,7,6,20
13400,7,7,20
9600,7,6,20
8700,7,6,20
8400,7,6,20
12800,7,6,20
10500,7,6,20
17100,7,6,20
18400,7,6,20
15400,7,6,20
10800,7,6,20
11800,7,6,20
14900,7,6,20
12600,7,6,20
14100,7,6,20
13000,7,6,20
13400,7,7,20
15200,7,7,20
16100,7,6,20
17794,7,7,20
14900,7,7,20
14100,7,7,20
12700,7,6,20
13500,7,6,20
14900,7,6,20
20000,7,6,20
16400,7,7,20
17700,7,6,20
19500,7,6,20
20200,7,7,20
21400,7,6,20
19900,7,6,20
19000,7,6,20
19100,6,6,20
17052,6,6,20
20100,6,6,20
19900,6,6,20
19600,5,6,20
23200,6,6,20
29801,6,7,20
13800,6,5,20
13300,6,6,20
16700,6,6,20
12000,6,5,20
14600,6,6,20
21400,6,6,20
23001,5,6,20
23699,5,7,20
24999,5,7,20
21800,5,6,20
20600,6,6,20
21200,6,6,20
19100,6,6,20
20600,6,6,20
15200,6,5,20
7000,6,5,20
8100,6,5,20
13600,6,6,20
20100,6,6,20
21800,6,6,19
24499,6,6,19
23100,6,6,19
19700,6,5,19
18300,6,6,19
21200,6,6,19
17500,6,6,19
16800,6,6,19
22400,6,7,21
20600,6,6,21
23899,6,7,21
22000,6,7,21
11900,6,6,21
